DAUID,low_income,minority,total_pop,total_pop_census,seniors,lone_parent,recent_immigrant,youth_15_24,visible_minority,low_income_lim
48111180,280.0,305.0,1019.0,1019.0,34.8,70.0,95.0,40.0,305.0,105.0
48111181,70.0,155.0,672.0,672.0,47.0,20.0,90.0,25.0,155.0,25.0
48111182,60.0,335.0,700.0,700.0,20.0,50.0,225.0,65.0,335.0,70.0
48111183,125.0,145.0,576.0,576.0,20.9,25.0,65.0,20.0,145.0,35.0
48111184,120.0,205.0,742.0,742.0,16.2,45.0,85.0,20.0,205.0,50.0
48111185,125.0,435.0,1021.0,1021.0,12.3,70.0,255.0,90.0,435.0,130.0
48111187,45.0,175.0,420.0,420.0,10.6,25.0,115.0,35.0,175.0,55.0
48111188,140.0,160.0,715.0,715.0,19.6,35.0,40.0,25.0,160.0,35.0
48111189,55.0,120.0,357.0,357.0,15.3,15.0,50.0,25.0,120.0,25.0
48111190,70.0,110.0,488.0,488.0,15.3,25.0,40.0,20.0,110.0,50.0
48111192,95.0,295.0,511.0,511.0,19.6,15.0,115.0,55.0,295.0,20.0
48111193,95.0,150.0,453.0,453.0,21.1,20.0,45.0,40.0,150.0,15.0
48111194,95.0,230.0,483.0,483.0,19.6,35.0,70.0,40.0,230.0,30.0
48111195,150.0,220.0,608.0,608.0,25.6,25.0,35.0,40.0,220.0,30.0
48111205,255.0,200.0,828.0,828.0,30.7,10.0,0.0,15.0,200.0,20.0
48111206,200.0,245.0,651.0,651.0,30.8,15.0,35.0,20.0,245.0,25.0
48111207,90.0,180.0,326.0,326.0,27.7,5.0,25.0,30.0,180.0,15.0
48111208,125.0,205.0,599.0,599.0,21.7,15.0,0.0,40.0,205.0,20.0
48111209,135.0,110.0,491.0,491.0,26.3,10.0,0.0,25.0,110.0,10.0
48111210,80.0,125.0,417.0,417.0,19.0,15.0,0.0,25.0,125.0,15.0
48111244,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
48111247,110.0,220.0,647.0,647.0,17.1,40.0,50.0,35.0,220.0,55.0
48111248,65.0,210.0,332.0,332.0,20.9,10.0,40.0,25.0,210.0,30.0
48111249,145.0,295.0,874.0,874.0,16.6,55.0,120.0,20.0,295.0,100.0
48111250,90.0,100.0,448.0,448.0,18.9,20.0,0.0,20.0,100.0,25.0
48111251,90.0,155.0,521.0,521.0,18.1,45.0,60.0,15.0,155.0,55.0
48111260,0.0,55.0,188.0,188.0,32.4,15.0,0.0,0.0,55.0,0.0
48111261,110.0,155.0,571.0,571.0,19.3,35.0,45.0,35.0,155.0,75.0
48111262,105.0,115.0,410.0,410.0,24.4,20.0,25.0,15.0,115.0,20.0
48111263,85.0,55.0,420.0,420.0,20.2,20.0,0.0,15.0,55.0,20.0
48111265,90.0,90.0,519.0,519.0,16.3,30.0,15.0,25.0,90.0,35.0
48111266,65.0,115.0,747.0,747.0,12.8,60.0,40.0,15.0,115.0,90.0
48111268,90.0,140.0,649.0,649.0,14.7,30.0,70.0,15.0,140.0,45.0
48111269,85.0,60.0,499.0,499.0,17.2,15.0,20.0,15.0,60.0,60.0
48111270,85.0,40.0,423.0,423.0,20.0,10.0,0.0,0.0,40.0,25.0
48111271,65.0,25.0,469.0,469.0,35.1,15.0,10.0,0.0,25.0,25.0
48111272,40.0,95.0,364.0,364.0,12.5,15.0,60.0,10.0,95.0,50.0
48111273,95.0,150.0,707.0,707.0,13.5,40.0,50.0,10.0,150.0,100.0
48111275,65.0,45.0,397.0,397.0,16.5,20.0,10.0,0.0,45.0,50.0
48111276,105.0,115.0,436.0,436.0,22.7,30.0,25.0,25.0,115.0,35.0
48111277,80.0,130.0,451.0,451.0,17.8,30.0,75.0,20.0,130.0,40.0
48111278,90.0,90.0,534.0,534.0,16.8,25.0,0.0,20.0,90.0,50.0
48111279,110.0,35.0,469.0,469.0,23.7,10.0,0.0,10.0,35.0,25.0
48111280,110.0,160.0,566.0,566.0,19.5,15.0,25.0,35.0,160.0,35.0
48111281,90.0,45.0,448.0,448.0,20.2,15.0,0.0,10.0,45.0,15.0
48111282,90.0,80.0,641.0,641.0,14.8,20.0,15.0,10.0,80.0,30.0
48111283,90.0,165.0,418.0,418.0,22.6,5.0,25.0,15.0,165.0,40.0
48111284,100.0,285.0,509.0,509.0,18.6,10.0,105.0,15.0,285.0,40.0
48111285,120.0,125.0,449.0,449.0,27.8,15.0,15.0,40.0,125.0,40.0
48111286,0.0,75.0,192.0,192.0,7.9,0.0,0.0,0.0,75.0,0.0
48111287,140.0,180.0,712.0,712.0,20.3,5.0,45.0,30.0,180.0,90.0
48111288,35.0,200.0,598.0,598.0,5.8,15.0,30.0,15.0,200.0,190.0
48111294,150.0,260.0,1059.0,1059.0,13.7,35.0,85.0,45.0,260.0,150.0
48111295,10.0,130.0,323.0,323.0,3.1,5.0,25.0,0.0,130.0,80.0
48111296,80.0,75.0,387.0,387.0,22.1,10.0,25.0,10.0,75.0,90.0
48111297,30.0,90.0,430.0,430.0,5.8,15.0,25.0,10.0,90.0,75.0
48111298,130.0,80.0,513.0,513.0,25.5,15.0,0.0,10.0,80.0,90.0
48111299,135.0,230.0,864.0,864.0,15.6,20.0,80.0,25.0,230.0,125.0
48111300,45.0,50.0,307.0,307.0,14.5,10.0,0.0,10.0,50.0,30.0
48111301,70.0,35.0,469.0,469.0,14.9,15.0,0.0,10.0,35.0,30.0
48111303,45.0,120.0,458.0,458.0,9.8,15.0,35.0,0.0,120.0,55.0
48111304,80.0,190.0,718.0,718.0,11.1,25.0,95.0,10.0,190.0,110.0
48111305,45.0,125.0,537.0,537.0,7.5,20.0,60.0,10.0,125.0,90.0
48111306,50.0,90.0,451.0,451.0,10.0,15.0,45.0,0.0,90.0,45.0
48111307,155.0,305.0,1152.0,1152.0,13.9,30.0,80.0,50.0,305.0,180.0
48111308,35.0,250.0,661.0,661.0,6.1,25.0,125.0,15.0,250.0,130.0
48111309,70.0,210.0,803.0,803.0,8.7,20.0,70.0,35.0,210.0,175.0
48111310,30.0,75.0,338.0,338.0,10.4,15.0,20.0,10.0,75.0,50.0
48111311,70.0,90.0,543.0,543.0,11.9,25.0,35.0,20.0,90.0,50.0
48111313,110.0,75.0,741.0,741.0,15.5,25.0,20.0,15.0,75.0,70.0
48111314,355.0,70.0,594.0,594.0,59.7,10.0,20.0,10.0,70.0,195.0
48111315,100.0,85.0,688.0,688.0,13.9,45.0,55.0,15.0,85.0,95.0
48111316,45.0,90.0,471.0,471.0,9.6,20.0,35.0,15.0,90.0,60.0
48111317,150.0,100.0,867.0,867.0,25.4,35.0,40.0,0.0,100.0,80.0
48111318,175.0,100.0,971.0,971.0,18.0,25.0,25.0,25.0,100.0,65.0
48111319,25.0,110.0,377.0,377.0,7.9,15.0,30.0,0.0,110.0,140.0
48111320,130.0,200.0,451.0,451.0,30.0,10.0,50.0,35.0,200.0,30.0
48111321,65.0,110.0,552.0,552.0,11.7,10.0,40.0,10.0,110.0,95.0
48111322,95.0,85.0,408.0,408.0,23.2,10.0,35.0,20.0,85.0,30.0
